This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
HepG2    KHSRP     ENCSR850CKU ENCFF389VNI
HepG2    KIF1C     ENCSR182GKG ENCFF437BKQ
HepG2    KRR1      ENCSR542ESY ENCFF463FSB
HepG2    LARP4     ENCSR744PAQ ENCFF976UWD
HepG2    LARP7     ENCSR624FBY ENCFF407QHN
HepG2    LIN28B    ENCSR927SLP ENCFF715DSE
HepG2    LSM11     ENCSR883BXR ENCFF316XEJ
HepG2    MAGOH     ENCSR746EKS ENCFF259KYM
HepG2    MARK2     ENCSR105OXX ENCFF999ZQH
HepG2    MATR3     ENCSR492UFS ENCFF821MPK
HepG2    METAP2    ENCSR992JGE ENCFF525CDN
HepG2    MSI2      ENCSR896MMU ENCFF031CLM
HepG2    MTPAP     ENCSR701GSV ENCFF642MRD
HepG2    NAA15     ENCSR355OQC ENCFF140LSH
HepG2    NCBP2     ENCSR030ARO ENCFF437AEF
HepG2    NELFE     ENCSR939ZRA ENCFF136ISX
HepG2    NIP7      ENCSR696LLZ ENCFF717DYQ
HepG2    NKRF      ENCSR517JDK ENCFF006FHB
HepG2    NOL12     ENCSR643UFV ENCFF723IIA
HepG2    NONO      ENCSR647NYX ENCFF810OXT
HepG2    NPM1      ENCSR016XPB ENCFF628XSC
HepG2    NSUN2     ENCSR629RUG ENCFF538FBE
HepG2    NUFIP2    ENCSR584JRB ENCFF999UKI
HepG2    NUP35     ENCSR457WBK ENCFF999TPX
HepG2    NUSAP1    ENCSR180XTP ENCFF159IZK
HepG2    PA2G4     ENCSR028YAQ ENCFF911BRX
HepG2    PABPC1    ENCSR910YNJ ENCFF719WYQ
HepG2    PABPC4    ENCSR455VZH ENCFF868MKD
HepG2    PARN      ENCSR825QXH ENCFF992YHQ
HepG2    PCBP1     ENCSR635FRH ENCFF777OHT
HepG2    PCBP2     ENCSR028ITN ENCFF589KQV
HepG2    PES1      ENCSR496ETJ ENCFF544SXC
HepG2    PHF6      ENCSR681SMT ENCFF780CDA
HepG2    PKM       ENCSR656DQV ENCFF986IQC
HepG2    PNPT1     ENCSR880DEH ENCFF262ZNL
HepG2    PPIG      ENCSR620HAA ENCFF387EFD
HepG2    PPIL4     ENCSR851KEX ENCFF713HDI
HepG2    PRPF4     ENCSR215FRI ENCFF912UQG
HepG2    PRPF6     ENCSR529QEZ ENCFF308GIE
HepG2    PRPF8     ENCSR998MZP ENCFF232MJZ
HepG2    PSIP1     ENCSR744YVR ENCFF115BPB
HepG2    PTBP1     ENCSR064DXG ENCFF081GDG
HepG2    PUF60     ENCSR648BSC ENCFF559OZJ
HepG2    PUM1      ENCSR945XKW ENCFF560GBW
HepG2    PUM2      ENCSR210DML ENCFF380YLJ
HepG2    PUS1      ENCSR296ERI ENCFF958TBN
HepG2    QKI       ENCSR330YOU ENCFF103PLX
HepG2    RAVER1    ENCSR576GOW ENCFF067GWP
HepG2    RBFOX2    ENCSR767LLP ENCFF602CHO
HepG2    RBM15     ENCSR599PXD ENCFF786OPW
HepG2    RBM17     ENCSR385TMY ENCFF344VKK
HepG2    RBM22     ENCSR330KHN ENCFF532VWT
HepG2    RBM25     ENCSR610AEI ENCFF199QND
HepG2    RBM27     ENCSR222SMI ENCFF733PFH
HepG2    RBM34     ENCSR318HAT ENCFF014MKS
HepG2    RBM39     ENCSR760EGM ENCFF380JTO
HepG2    RBM47     ENCSR711ZJQ ENCFF012EPU
HepG2    RCC2      ENCSR685JXU ENCFF108PFJ
HepG2    RECQL     ENCSR572AMC ENCFF518SOH
HepG2    RPL23A    ENCSR706SXN ENCFF488NTT
HepG2    RPLP0     ENCSR082YGI            
HepG2    RPS10     ENCSR410UHJ ENCFF678CWS
HepG2    RPS19     ENCSR486AIO ENCFF937ETQ
HepG2    RPS2      ENCSR667RIA ENCFF344YEO
HepG2    RPS3A     ENCSR118VQR ENCFF019BLA
HepG2    RPS5      ENCSR838SMC ENCFF254VSB
HepG2    RRP9      ENCSR471GIS ENCFF056CVC
HepG2    RTF1      ENCSR906WTM ENCFF194IPC
HepG2    SAFB2     ENCSR110ZYD ENCFF947SKW
HepG2    SART3     ENCSR011BBS ENCFF252XFI
HepG2    SBDS      ENCSR343DHN ENCFF584XCH
HepG2    SERBP1    ENCSR820ROH ENCFF527OSK
HepG2    SF1       ENCSR644AIM ENCFF939XNE
HepG2    SF3A3     ENCSR374NMJ ENCFF945QLO
HepG2    SF3B1     ENCSR896CFV ENCFF471CBD
HepG2    SF3B4     ENCSR148MQK ENCFF973TMX
HepG2    SFPQ      ENCSR782MXN ENCFF094KRM
HepG2    SLBP      ENCSR519KXM ENCFF562ZGW
HepG2    SLTM      ENCSR185JGT ENCFF622OFH
HepG2    SMN1      ENCSR090UMI ENCFF127NRA
HepG2    SMNDC1    ENCSR995ZGJ ENCFF092YET
HepG2    SND1      ENCSR398LZW ENCFF931OQK
HepG2    SNRNP200  ENCSR003LSA ENCFF429OPQ
HepG2    SNRNP70   ENCSR635BOO ENCFF979DNR
HepG2    SRFBP1    ENCSR153GKS ENCFF205QST
HepG2    SRP68     ENCSR167JPY ENCFF902AKA
HepG2    SRSF1     ENCSR094KBY ENCFF651GFP
HepG2    SRSF3     ENCSR376FGR ENCFF459QWA
HepG2    SRSF5     ENCSR781YNI            
